code,r,g,b
RAL 1000,205,186,136
RAL 1001,208,176,132
RAL 1002,210,170,109
RAL 1003,249,169,0
RAL 1004,228,158,0
RAL 1005,203,143,0
RAL 1006,225,144,0
RAL 1007,232,140,0
RAL 1011,175,128,80
RAL 1012,221,175,40
RAL 1013,227,217,199
RAL 1014,221,196,155
RAL 1015,230,210,181
RAL 1016,241,221,57
RAL 1017,246,169,81
RAL 1018,250,202,49
RAL 1019,164,143,122
RAL 1020,160,143,101
RAL 1021,246,182,0
RAL 1023,247,181,0
RAL 1024,186,143,76
RAL 1026,255,255,0
RAL 1027,167,127,15
RAL 1028,255,156,0
RAL 1032,226,163,0
RAL 1033,249,154,29
RAL 1034,235,156,82
RAL 1035,143,131,112
RAL 1036,128,100,64
RAL 1037,240,146,0
RAL 2000,218,110,0
RAL 2001,186,72,28
RAL 2002,191,57,34
RAL 2003,246,120,41
RAL 2004,226,83,4
RAL 2005,255,77,8
RAL 2007,255,178,0
RAL 2008,236,107,34
RAL 2009,222,83,8
RAL 2010,208,93,41
RAL 2011,226,110,15
RAL 2012,213,101,78
RAL 2013,146,62,37
RAL 2017,252,85,0
RAL 3000,167,41,32
RAL 3001,155,36,35
RAL 3002,155,35,33
RAL 3003,134,26,34
RAL 3004,107,28,35
RAL 3005,89,25,31
RAL 3007,62,32,34
RAL 3009,109,52,45
RAL 3011,120,36,35
RAL 3012,197,133,109
RAL 3013,151,46,37
RAL 3014,203,115,117
RAL 3015,216,160,166
RAL 3016,166,61,48
RAL 3017,202,85,93
RAL 3018,198,63,74
RAL 3020,187,31,17
RAL 3022,207,105,85
RAL 3024,255,45,33
RAL 3026,255,42,28
RAL 3027,171,39,60
RAL 3028,204,44,36
RAL 3031,166,52,55
RAL 3032,112,29,36
RAL 3033,165,58,46
RAL 4001,129,97,131
RAL 4002,141,60,75
RAL 4003,196,97,140
RAL 4004,101,30,56
RAL 4005,118,104,154
RAL 4006,144,51,115
RAL 4007,71,36,60
RAL 4008,132,76,130
RAL 4009,157,134,146
RAL 4010,187,64,119
RAL 4011,110,99,135
RAL 4012,106,107,127
RAL 5000,48,79,110
RAL 5001,14,76,100
RAL 5002,0,56,122
RAL 5003,31,56,85
RAL 5004,25,30,40
RAL 5005,0,83,135
RAL 5007,55,107,140
RAL 5008,43,58,68
RAL 5009,33,95,120
RAL 5010,0,79,124
RAL 5011,26,43,60
RAL 5012,0,137,182
RAL 5013,25,49,83
RAL 5014,99,125,150
RAL 5015,0,124,175
RAL 5017,0,91,140
RAL 5018,4,139,140
RAL 5019,0,94,131
RAL 5020,0,65,75
RAL 5021,0,117,119
RAL 5022,34,45,90
RAL 5023,65,105,140
RAL 5024,96,147,172
RAL 5025,32,105,124
RAL 5026,15,48,82
RAL 6000,60,116,96
RAL 6001,54,103,53
RAL 6002,50,89,40
RAL 6003,80,83,60
RAL 6004,2,68,66
RAL 6005,17,66,50
RAL 6006,60,57,46
RAL 6007,44,50,34
RAL 6008,54,52,42
RAL 6009,39,53,42
RAL 6010,77,111,57
RAL 6011,107,124,89
RAL 6012,47,61,58
RAL 6013,124,118,90
RAL 6014,71,65,53
RAL 6015,61,61,54
RAL 6016,0,105,76
RAL 6017,88,127,64
RAL 6018,96,153,59
RAL 6019,185,206,172
RAL 6020,55,66,47
RAL 6021,138,153,119
RAL 6022,58,51,39
RAL 6024,0,131,81
RAL 6025,94,110,59
RAL 6026,0,95,78
RAL 6027,126,186,181
RAL 6028,49,84,66
RAL 6029,0,111,61
RAL 6032,35,127,82
RAL 6033,69,135,127
RAL 6034,122,173,172
RAL 6035,25,77,37
RAL 6036,4,87,75
RAL 6037,0,139,41
RAL 6038,0,181,27
RAL 6039,179,196,62
RAL 7000,122,136,142
RAL 7001,140,151,156
RAL 7002,129,120,99
RAL 7003,121,118,105
RAL 7004,154,155,155
RAL 7005,107,110,107
RAL 7006,118,106,94
RAL 7008,116,95,61
RAL 7009,93,96,88
RAL 7010,88,92,86
RAL 7011,82,89,93
RAL 7012,87,93,94
RAL 7013,87,80,68
RAL 7015,79,83,88
RAL 7016,56,62,66
RAL 7021,47,50,52
RAL 7022,76,74,68
RAL 7023,128,128,118
RAL 7024,69,73,78
RAL 7026,55,67,69
RAL 7030,146,142,133
RAL 7031,91,104,109
RAL 7032,181,176,161
RAL 7033,127,130,116
RAL 7034,146,136,111
RAL 7035,197,199,196
RAL 7036,151,147,146
RAL 7037,122,123,122
RAL 7038,176,176,169
RAL 7039,107,102,94
RAL 7040,152,158,161
RAL 7042,142,146,145
RAL 7043,79,82,80
RAL 7044,183,179,168
RAL 7045,141,146,149
RAL 7046,126,134,138
RAL 7047,200,200,199
RAL 7048,129,123,115
RAL 8000,137,105,63
RAL 8001,157,98,43
RAL 8002,121,77,62
RAL 8003,126,75,39
RAL 8004,141,73,49
RAL 8007,112,70,43
RAL 8008,114,74,37
RAL 8011,90,56,39
RAL 8012,102,51,43
RAL 8014,74,53,38
RAL 8015,94,47,38
RAL 8016,76,43,32
RAL 8017,68,47,41
RAL 8019,61,54,53
RAL 8022,26,23,25
RAL 8023,164,87,41
RAL 8024,121,80,56
RAL 8025,117,88,71
RAL 8028,81,58,42
RAL 8029,127,64,49
RAL 9001,233,224,210
RAL 9002,214,213,203
RAL 9003,236,236,231
RAL 9004,43,43,44
RAL 9005,14,14,16
RAL 9006,161,161,160
RAL 9007,134,133,129
RAL 9010,241,237,225
RAL 9011,39,41,43
RAL 9012,248,242,225
RAL 9016,241,241,234
RAL 9017,41,41,42
RAL 9018,200,203,196
RAL 9022,133,133,131
RAL 9023,120,123,122
